TileWidth,MatrixSize,GPUAverage,GPUError
2,100,1.904160,0.245238
2,250,24.933632,0.531652
2,500,142.783356,33.879124
2,1000,993.258606,0.250000
2,1500,3506.708252,28.879059
5,100,0.190485,0.007322
5,250,2.933760,0.002930
5,500,21.183775,0.305538
5,1000,126.103722,26.683950
5,1500,416.367340,36.378006
16,100,0.156171,0.007932
16,250,0.741547,0.000946
16,500,5.239200,0.007176
16,1000,39.117855,0.011049
16,1500,127.719566,0.443045
25,100,0.137781,0.000173
25,250,0.693653,0.004840
25,500,5.309035,0.006176
25,1000,41.340481,-nan(ind)
25,1500,136.853531,0.000000
32,100,0.155936,0.005788
32,250,0.933696,0.005080
32,500,6.058859,0.007042
32,1000,49.268139,0.000000
32,1500,152.486740,2.732544
